kata,arti,kelas_kata
seleksi massal,-,-
seleksi menyempit,-,-
seleksi risiko,-,-
seleksi risiko ulang,-,-
selektif,-,-
se.lek.ti.fi.tas,→ selektivitas,
selektivitas,-,-
seleler,-,-
se.lem.ba.da,→ selempada,
selembana,-,-
selembubu,-,-
selempada,-,-
selempang,-,-
selempit,-,-
se.lem.pu.kau,→ silempukau,
se.lem.pu.ri,→ kain,
selendang,-,-
selendang mayang,-,-
se.len.der,→ silinder,
se.len.dro,→ slendro,
seleng,-,-
se.le.ngat,→ selangat,
selengean,-,-
selenggara,-,-
selenggaraan,-,-
selengkap,-,-
selengkatan,-,-
selenium,-,-
selenofobia,-,-
selenografi,-,-
selenologi,-,-
selenoprotein,-,-
selenosistein,-,-
selensung,-,-
selentang-selenting,-,-
selentem,-,-
selentik,-,-
selenting,-,-
selentingan,-,-
se.le.o,→ keseleo,
selepa,-,-
se.le.pang,→ selempang,
selepas,-,-
selepas-lepas,-,-
selepat,-,-
selepe,-,-
seleper,-,-
selepetan,-,-
selepi,-,-
seler,-,-
selera,-,-
selera tajam,sangat ingin akan makan,
selera tinggi,"pandai memilih yang bagus-bagus, suka akan yang bagus-bagus",
selerak,-,-
selerang,-,-
seleret,-,-
selesa,-,-
selesai,-,-
selesaian,-,-
selesma,-,-
selesma ayam,penyakit disebabkan virus yang menyerang saluran pernapasan ayam,
seletuk,-,-
selewat,-,-
seleweng,-,-
selfing,-,-
seli,-,-
selia,-,-
"seliang bagai tebu, serumpun bagai serai","seia sekata, rukun",
seliap,-,-
selibasi,-,-
selibat,-,-
selibat awam,-,-
selibat imam,-,-
selibat religius,selibat imamat,
se.li.bu,→ padi (1),
selibut,-,-
selidik,-,-
seligi,-,-
seligi tajam bertimbal,seligi yang kedua belah ujungnya tajam,
seligi tajam bertimbal,-,-
seligit,-,-
selilit,-,-
selilit lapangan,sekeliling lapangan,
selilit pinggang,-,-
selimang,-,-
selimang batu,lukas2,
se.lim.bu,→ selibu,
se.lim.pang,→ selempang (1),
selimpang,-,-
selimpat,-,-
selimut,-,-
selimut elektrik,"selimut yang mengandung elemen pemanas listrik terisolasi, selimut listrik",
selimut gula,-,-
selimut kambeli,kain selubung dari bulu domba,
selimut penghangat,selimut yang digunakan untuk menghangatkan tubuh,
selinap,-,-
se.lin.cah,ketoprak3,
selincam,-,-
se.lin.dit,→ serindit,
selindung,-,-
seling,-,-
selingan,-,-
selingar,-,-
selingkit,-,-
selingkuh,-,-
selingkuhan,-,-
selingkung,-,-
selingkup,-,-
selintas,-,-
selintas lalu,"sepintas lalu, selayang pandang",
selintru,-,-
selip,-,-
selipan,-,-
selipan iklan,"selipan atau jeda dalam sebuah mata acara yang digunakan untuk menyiarkan iklan, selipan niaga",
selipar,-,-
selir,-,-
selir-menyelir,-,-
selira,-,-
selirak,-,-
selirat,-,-
seliri,-,-
selirik,-,-
selis,-,-
selisih,-,-
selisih basah,simpang siur (tentang perahu),
selisih harga,-,-
selisih paham,"salah paham, berlainan paham",
selisik,-,-
selisip,-,-
selisir,-,-
selit,-,-
selit-belit,"banyak seluk-beluknya, sulit",
selit-sepit,selit-belit,
se.li.u,→ keseleo,
seliwen,-,-
seliwer,-,-
seliweran,-,-
selo,-,-
se.lo.bok,→ sobok (2),
se.lo.dang,→ seludang,
selofan,-,-
selok,-,-
seloka,-,-
selokan,-,-
seloki,-,-
selom,-,-
selometer,-,-
selomot,-,-
selompret,-,-
Se.lon,→ Sailan,
selonding,-,-
selondok,-,-
Se.long,→ Sailan,
selong,-,-
selongkar,-,-
selongsong,-,-
selongsong pancing,-,-
selongsong peluru,"tabung tempat peluru, kelongsong peluru",
selongsong sambung cabang,-,-
selonjor,-,-
selonjoran,-,-
selonong,-,-
selop,-,-
seloper,-,-
seloroh,-,-
se.lo.soh,→ selusuh (1),
selot,-,-
selot gantung,"kunci gantung, (kunci) kura-kura, repuh-repuh",
selotip,-,-
selotong,-,-
seloyak,-,-
seloyong,-,-
seloyong-seloyong,-,-
seloyongan,-,-
selre,-,-
selter,-,-
seluang,-,-
seluar,-,-
seluar katuk,seluar yang dipakai di bawah seluar lain,
seluar kotong,seluar pendek,
seluar lenang,seluar yang kecil kakinya,
seluar pandak,seluar pendek,
seluar panjang,seluar yang panjang kakinya,
seluar pendek,seluar yang pendek kakinya,
selubung,-,-
selubung otak,kulit otak besar,
selubung telur,selaput telur,
seludang,-,-
seludang menolakkan mayang,"memperlihatkan atau kelihatan kecantikannya (isi hatinya, kesombongannya, dan sebagainya)",
seludu,-,-
seluduk,-,-
seludup,-,-
seludupan,-,-
seludupan saku,merogoh saku,
seludupan udang,memasukkan tangan ke dalam lubang untuk mencari udang,
selugot,-,-
selui,-,-
seluk,-,-
seluk-beluk,-,-
seluk-semeluk,-,-
selukat,-,-
selukung,-,-
se.lu.lar,→ seluler (2),
seluler,-,-
selulit,-,-
seluloid,-,-
selulosa,-,-
selulup,-,-
selulur,-,-
selulus,-,-
selulusan,-,-
seluma,-,-
selumar,-,-
selumbar,-,-
selumbari,-,-
selumbat,-,-
selumu,-,-
selumur,-,-
seluncur,-,-
seluncuran,-,-
selundup,-,-
selundupan,-,-
Se.lu.ngai,→ Dayak Selungai,
selungkang,-,-
se.lung.kap,→ jelungkap,
selungkup,-,-
selup,-,-
selupan,-,-
selupat,-,-
selurah,-,-
seluru,-,-
seluruh,-,-
selurusan,-,-
selurusnya,-,-
selusuh,-,-
selusuh anak,selusuh untuk memudahkan kelahiran bayi,
selusuh uri,selusuh untuk memudahkan tembuni keluar,
selusup,-,-
selusur,-,-
selut,-,-
selutut,-,-
sema,-,-
sema-sema,-,-
semacam,-,-
semadi,-,-
semafor,-,-
semah,-,-
semah-semah,-,-
semahal,-,-
semahan,-,-
semai,-,-
semaian,-,-
semaja,-,-
semaju,-,-
se.mak,→ simak,
semak,-,-
semak belukar,tumbuhan perdu yang mempunyai kayu-kayuan kecil dan rendah,
semak hati,-,-
semak pikiran,semak hati,
semak samun,berbagai tumbuhan kecil dan lebat,
semak tinggi,teriba,
semak-semak,-,-
se.ma.kin,→ makin,
semaksimal,-,-
semaksimal mungkin,-,-
semaksimal-maksimalnya,-,-
semaksimalnya,-,-
se.ma.la.ka.ma,→ simalakama,
semalam,-,-
semalam-malaman,-,-
semalaman,-,-
semalu,-,-
semambu,-,-
semampai,-,-
semampang,-,-
semampat,-,-
semampu,-,-
seman,-,-
semana santa,-,-
semanak,-,-
se.man.da,→ semenda,
semandan,-,-
semandang,-,-
se.man.da.ra.sa,→ semendarasa,
se.man.da.ra.sa,→ semendarasa,
semandera,-,-
semang,-,-
semang-semang,-,-
semangat,-,-
semangat bahari,"semangat yang berhubungan dengan pelayaran, semangat kelautan",
semangat baja,semangat yang keras dan luar biasa,
semangat padi,semangat yang menyebabkan padi dapat tumbuh dan berbuah,
semanggi,-,-
semangka,-,-
semangka belanda,melon,
se.mang.kok,→ kembang (2),
semangkuk,-,-
semanis,-,-
semanis-manis,-,-
"semanis-manis gula, ada pasir di dalamnya (manis-manis gula berpasir jua, sepahit-pahit jadam menjadi obat)",bujuk rayu yang lemah lembut adalah berisi tipu dan perkataan yang keras itu kadang-kadang menjadi kebajikan diri,
semanis-manisnya,-,-
se.man.ja,→ semaja,
semantan,-,-
semantik,-,-
semantik filsafat,-,-
semantik generatif,-,-
semantik gramatikal,-,-
semantik historis,-,-
semantik interpretif,-,-
semantik kognitif,-,-
semantik kombinatoris,-,-
semantik leksikal,-,-
semantik struktural,-,-
semantis,-,-
semantung,-,-
semaput,-,-
semara,-,-
semarai,-,-
semarak,-,-
semaram,-,-
semarang,-,-
semarmendem,-,-
semasa,-,-
semasa-masa,-,-
semasih,-,-
semasiologi,-,-
semat,-,-
semata,-,-
semata wayang,-,-
semata-mata,-,-
sematan,-,-
semati,-,-
semati-mati,-,-
semati-mati angin,-,-
semau,-,-
semau gue,-,-
semau-maunya,-,-
semawang,-,-
semawar,-,-
semaya,-,-
semayam,-,-
semayang,-,-
semayi,-,-
sem.bab,→ sembap,
sembab,-,-
sembabat,-,-
sembada,-,-
sembagi,-,-
sembah,-,-
sembah akhir,-,-
sembah simpuh,hormat dengan penuh takzim,
sembah sujud,"hormat dan khidmat, penghormatan",
sembah sungkem,sembah dan sujud,
sembahan,-,-
sembahyang,-,-
sembahyangan,-,-
sembai,-,-
sembak,-,-
sembako,-,-
Sem.ba.kung,→ Dayak Simbakong,
sembam,-,-
sembap,-,-
sem.bar,→ sambar,
sembar,-,-
sembarang,-,-
sembarang orang,asal orang saja,
sembarang waktu,sewaktu-waktu,
sembarangan,-,-
sembari,-,-
sembat,-,-
sembawang,-,-
sembayan,-,-
sembelih,-,-
sembelihan,-,-
sembelit,-,-
sember,-,-
sem.be.ra.ni,→ sembrani,
semberap,-,-
semberap sirih,"sirih lengkap dengan gambir, tembakau, pinang, dan kapur",
semberip,-,-
sem.be.ro.no,→ sembrono,
sembesi,-,-
sembeta,-,-
sembiang,-,-
sembilan,-,-
sembilang,-,-
sembilang betul,sembilang,
sembilang karang,"salah satu jenis sembilang, panjangnya dapat mencapai 32 cm, memiliki satu duri gigi berbisa di dorsal pertama masing-masing sirip dada, biasa ditemukan di terumbu karang dan estuari atau",
sem.bi.lat,→ semilat,
sem.bi.lik,→ puru,
sembilu,-,-
sembiluan,-,-
sembir,-,-
sembiran,-,-
semboja,-,-
semboyan,-,-
semboyan tiga lima,bunyi klakson atau peluit kereta api,
sembrani,-,-
sembrono,-,-
sembuang,-,-
sembuh,-,-
sembukan,-,-
sembul,-,-
sembul ibun,-,-
sembung,-,-
sembung lelaki,"terna, tinggi 1 m, pucuk tumbuhan dimakan sebagai sayur, lumai hutan",
sembung rambat,"perdu yang bercabang banyak, tinggi mencapai 6 m, berbatang kecil, daunnya dapat menyembuhkan luka-luka, akar lupang",
sembunyi,-,-
"sembunyi tuma (kepala tersuruk), ekor kelihatan","merasa tidak ada yang mengetahui, tetapi sebenarnya sudah diketahui orang banyak",
"sembunyi tuma (kepala tersuruk), ekor kelihatan)",menutup-nutupi perbuatan jahat yang sudah diketahui orang,
sembunyi-sembunyi,-,-
sembunyi-sembunyi puyuh,sembunyi tuma,
sembunyi-sembunyi puyuh,sengaja tidak mau tahu akan perkara (bahaya dan sebagainya) yang sungguh (akan) terjadi,
sembunyi-sembunyian,-,-
sembur,-,-
sembur-sembur,-,-
sembur-sembur gelak,tersembur gelak,
semburan,-,-
semburan kuman,-,-
semburan liar,semburan minyak dan gas yang tidak terkontrol pada lubang bor eksplorasi yang disebabkan oleh penggunaan fluida pengeboran yang kurang mampat,
semburat,-,-
semburit,-,-
semecah,-,-
se.me.de.ra,→ samudra,
se.me.di,→ semadi,
semedot,-,-
se.me.jak,→ semenjak,
se.me.ja.na,→ semenjana,
se.mek,→ demek,
semeleh,-,-
semelet,-,-
semelpar,-,-
semem,-,-
sememangnya,-,-
sememeh,-,-
semen,-,-
semen asbes,-,-
semen perekat,-,-
semen posolan,"semen jenis nonkonstruksi yang hanya mempunyai kekuatan dalam bangunan rumah biasa dan hanya dapat digunakan untuk campuran pasangan batu bata atau batako untuk dinding, tetapi tidak dapat digunakan untuk beton cor",
semena,-,-
semena-mena,-,-
semenan,-,-
semenanjung,-,-
semenda,-,-
semenda bapak paja,-,-
semenda kacang miang,-,-
semenda kutu dapur,-,-
semenda langau hijau,-,-
semenda lapik buruk,-,-
semenda ninik mamak,-,-
semenda-menyemenda,-,-
semendarasa,-,-
semendarasa wilis,cempaka biru,
semende,-,-
semengga,-,-
semengga-mengga,-,-
semenggah,-,-
semenggah-menggah,-,-
semenit,-,-
semenjak,-,-
semenjana,-,-
sementang,-,-
sementang-mentang,-,-
sementangkan,-,-
sementangpun,-,-
sementara,-,-
sementara itu,"dalam pada itu, waktu (itu), sedang",
sementasi,-,-
sementelah,-,-
sementung,-,-
semerawang,-,-
semerayan,-,-
semerbak,-,-
semerdanta,-,-
semerdeka-merdekanya,-,-
semeri,-,-
semerta,-,-
semerta-merta,-,-
semesta,-,-
semesta bahasa,-,-
semesta mendukung,kondisi ketika semesta (segala sesuatu yang berada di dalam dan di sekitar manusia) mendukung suatu individu atau kelompok untuk keluar dari kondisi kritis,
semester,-,-
semesteran,-,-
semestinya,-,-
semi,-,-
semi-,-,-
semiakuatik,-,-
semiang,-,-
semiang kalam,kecil (sedikit) sekali,
semiang kalam,sedikit sekali,
semiarts,-,-
semidiurnal,-,-
semifinal,-,-
semifinalis,-,-
semiformal,-,-
semiidiom,-,-
semikimia,-,-
semikonduktor,-,-
semilat,-,-
semiliar,-,-
semilir,-,-
semilogam,-,-
semiloka,-,-
semimi,-,-
seminai,-,-
seminal,-,-
seminar,-,-
seminar web,seminar yang dilakukan secara daring melalui situs web atau aplikasi berbasis internet,
seminari,-,-
seminaris,-,-
seminau,-,-
seminggu,-,-
semiologi,-,-
semiotik,-,-
semiotika,-,-
semiotika pertunjukan,-,-
semiovipar,-,-
semiparasit,-,-
semipermanen,-,-
semipermeabel,-,-
semir,-,-
semir rambut,semir untuk mewarnai rambut,
semir sepatu,semir untuk menggilapkan sepatu,
semir ubin,semir untuk menggilapkan ubin,
semisal,-,-
semisal udang dalam tangguk,sedang dalam kesusahan (kesukaran),
semisintetis,-,-
semit,-,-
semitablet,-,-
semitisme,-,-
semitrailer,-,-
semitrailer berpendingin,semitrailer yang dilengkapi dengan unit pendingin dan sebuah ruang kedap untuk mengangkut barang-barang yang cepat membusuk,
semivokal,-,-
semoga,-,-
semok,-,-
semolina,-,-
semong,-,-
sem.pa.da,→ ketam (4),
sempadan,-,-
sempak,-,-
sempal,-,-
sempalai,-,-
sempalan,-,-
sempan,-,-
sem.pa.na,→ sempena (1),
sempang,-,-
sempat,-,-
sempat-sempatnya,-,-
sempelah,-,-
sempena,-,-
sempena hati,"bisikan hati, ilham",
sempil,-,-
sempit,-,-
sempit akal,kurang cerdik,
sempit alam,lekas marah,
sempit dada,lekas marah,
sempit hati,cepat marah,
sempit kalang,lekas marah,
sempit kening,mudah sekali tersinggung,
sempitan,-,-
semplak,-,-
sem.poa,→ swipoa,
sempol,-,-
sempoyong,-,-
sempoyongan,-,-
semprit,-,-
sempritan,-,-
semprong,-,-
semprot,-,-
semprotan,-,-
semprotan pelentur,-,-
sempul,-,-
sempulian,-,-
sempur,-,-
sempuras,-,-
sempurna,-,-
sempurna akal,-,-
sempurna umur,-,-
sempurna usia,-,-
semput,-,-
semrawut,-,-
semringah,-,-
sem.sem,→ sengsem,
semu,-,-
semu daya,"daya upaya untuk mengelabui, tipuan, muslihat yang halus, tipu daya",
semu merah,agak merah atau kemerah-merahan,
semu-semu,-,-
semua,-,-
semua-muanya,-,-
semuanya,-,-
semuda,-,-
semudah,-,-
semudah bersiul,mudah (gampang) sekali,
se.mu.de.ra,→ samudra,
semudik,-,-
semufakat,-,-
semujur,-,-
semujur-mujurnya,-,-
semuka,-,-
semukabalah,-,-
semula,-,-
semunding,-,-
se.mu.ni.an,→ daun,
se.mun.tu,→ simuntu,
semur,-,-
semusim,-,-
semut,-,-
semut angkrang,"semut rangrang, rangrang, semut kerengga, kerengga",
semut api,"semut berukuran kecil, berwarna cokelat kemerahan pada bagian toraks dan mandibula, kepala dan abdomen berwarna hitam, gigitannya terasa panas serta menimbulkan rasa gatal atau alergi, semut gatal",
"semut dipijak tidak mati, gajah diarung bergelimpangan (semut terpijak tidak mati, alu tertarung patah tiga)",perihal cara berjalan seorang perempuan yang baik lagi teratur (tidak terlalu lambat dan tidak terlalu cepat),
semut firaun,"semut berukuran kecil, tubuh berwarna kuning muda hingga cokelat kemerahan dengan perut yang lebih gelap, menjadi hama karena memakan persediaan makanan manusia atau sebagai vektor penyakit",
semut gajah,"semut berukuran besar sampai dengan 20 mm, hidup di kawasan hutan, kepala dan toraks berwarna hitam, abdomen berwarna cokelat kemerahan, mencari makan terutama pada malam hari, semut temenggung",
semut gatal,semut api,
semut geramang,"semut berukuran besar, berkaki panjang, berwarna cokelat kekuningan, mempunyai gerakan cepat dan tidak menentu jika merasa terganggu, geramang",
semut gula,"semut berukuran kecil, tubuhnya langsing, kepala dan toraks berwarna cokelat tua atau hitam, kaki dan abdomen berwarna pucat atau transparan, semut pudak",
semut hitam,"semut berwarna hitam, menyenangi buah-buahan, seperti rambutan dan jambu",
semut kerengga,"semut rangrang, rangrang, semut angkrang, kerengga",
semut keripik,"semut berukuran kecil, berwarna cokelat tua dan kehitam-hitaman, panjangnya kira-kira 2,5 mm, biasanya hidup di hutan, bersimbiosis dengan tumbuhan paku epifit",
semut pudak,semut gula,
semut putih,"rayap, rayap tanah, anai-anai, julur2, rangas",
semut rangrang,"semut berukuran besar, arboreal, membentuk koloni dengan banyak sarang di pohon, setiap sarang terbuat dari daun yang dijahit menggunakan sutra yang dihasilkan oleh larva semut, rangrang, semut angkrang, semut kerengga, kerengga",
semut setanda,semut kecil,
semut temenggung,semut gajah,
semut tukang kayu,"semut berukuran besar, berwarna hitam kecokelatan, hidup di daerah pegunungan Eropa, Asia Tengah, dan Amerika, bersarang di bawah kulit kayu atau batang kayu yang membusuk, cengkiak",
semut-semutan,-,-
semutu,-,-
sen,-,-
sen-senan,-,-
sena,-,-
senada,-,-
senak,-,-
senam,-,-
senam aerobik,senam untuk meningkatkan pernapasan dan detak jantung,
senam artistik,-,-
senam es,"olahraga yang merupakan gabungan dari lompatan, putaran, dan gerakan badan diiringi alunan musik, dilakukan di atas lapangan es",
senam irama,senam dengan gerakan yang mengikuti irama lagu,
senam kegel,"latihan otot-otot yang menyangga rahim, kandung kemih, vagina, dan sekitarnya, latihan otot dasar panggul",
senam kesegaran jasmani,"senam yang mengikuti irama lagu, gerakannya dapat diikuti oleh semua orang",
senam keselamatan,"senam yang dilakukan secara sistematik dengan menggunakan metode individual, bertujuan menghindari penyimpangan, menyembuhkan penyakit",
senam lantai,"senam yang terdiri atas berbagai gerakan mirip balet dan berjungkir balik biasanya dilakukan tanpa alat bantu, senam yang memeragakan gerakan akrobatik dan jungkir balik dengan mengikuti irama lagu, di lantai empuk berukuran 12 x 12 m, mengutamakan keseimbangan, kekuatan, kelenturan, dan ketajaman antara 50–70 detik (bagi pria), serta keluwesan, irama, dan kelenturan antara 70–90 detik (bagi wanita)",
senam otak,"senam yang dilakukan untuk meningkatkan daya tangkap, menambah energi, dan mengurangi stres, dengan cara melakukan gerakan yang dapat merangsang otak dan sistem saraf",
senam pagi,"senam dengan gerakan tertentu, dilaksanakan pada pagi hari",
senam pengembangan,-,-
senam ritmis,"kombinasi senam dengan tari yang diiringi musik, dimainkan oleh wanita yang memadukan kelembutan, kekuatan, dan kecakapan",
senam wajah,"rangkaian gerak peregangan otot wajah yang dilakukan dengan menarik dan membuang napas, diikuti dengan pelafalan 'A', 'I', 'U', 'E', dan 'O', dilakukan untuk mengurangi garis halus pada wajah",
senameki,-,-
senan,-,-
senandika,-,-
senandung,-,-
senandungan,-,-
senang,-,-
senang di balik senang,"marah, jengkel",
senang hati,gembira dalam hati,
senangin,-,-
senantan,-,-
senantiasa,-,-
senantiasa hari,setiap hari,
senantu,-,-
senapan,-,-
senapan angin,"senapan yang tidak memakai mesiu, ditembakkan dengan kekuatan tekanan udara, biasanya untuk menembak burung",
senapan bambu,senapan dari bambu untuk permainan anak-anak,
senapan bambu,-,-
senapan buluh,senapan bambu,
senapan cis,senapan yang memakai patrun kecil-kecil,
senapan Enfield,"senapan otomatis kaliber 0,30, dipakai tentara Amerika Serikat dan Inggris pada Perang Dunia I",
senapan gentel,-,-
senapan kembar,senapan yang berlaras dua,
senapan kopak,senapan yang diisi patrun dari pangkal laras,
senapan lontak,"senapan yang pelurunya diisi dari mulutnya, kemudian dijejalkan (senapan kuno)",
senapan mesin,"senapan yang dapat melepaskan banyak peluru dengan sekali tarikan picunya, mitraliur",
senapan mesin ringan,senjata serbu ringan otomatis yang dapat digunakan untuk satu tembakan otomatis,
senapan otomatis,senapan yang dapat memuntahkan banyak peluru dalam waktu beberapa detik,
senapan pegas,senapan yang ditembakkan dengan kekuatan tekanan pegas (biasanya untuk berburu),
senapan pengantin,senapan kembar,
senapan runduk,-,-
senapan serbu,senapan otomatis untuk pertempuran jarak pendek (kurang dari 300 m) dengan peluru kaliber menengah,
senapan sundut,senapan yang disulut,
senapan tempur,-,-
senapas,-,-
senapati,-,-
senar,-,-
senarai,-,-
se.na.ri.o,→ skenario,
senasib,-,-
senat,-,-
senator,-,-
senawak,-,-
se.na.wan,→ ular,
se.na.war,→ pinang (1),
senawat,-,-
senawi,-,-
senaya,-,-
sen.da,→ sanda (1),
senda,-,-
senda gurau,"perbuatan bercanda dengan kata-kata seperti olok-olok, kelakar, seloroh",
sen.dal,→ sandal (1),
sendal,-,-
sendalan,-,-
sen.da.lu,→ angin,
sendam,-,-
sendang,-,-
sendar,-,-
sendarat,-,-
sendaren,-,-
sendat,-,-
sendawa,-,-
sendayan,-,-
sendayang,-,-
sendel,-,-
sendelan,-,-
sendeng,-,-
sendeng mendeng,"terhuyung-huyung, sempoyongan, tersendeng-sendeng",
sen.der,→ sandar (1),
sender,-,-
senderik,-,-
senderung,-,-
senderut,-,-
sendi,-,-
sendi buka,-,-
sendi ganda,sendi yang memungkinkan terjadinya gerakan pada dua bidang,
sendi glenohumeral,"sendi bahu yang memungkinkan lengan bergerak memutar, menjauh dan mendekati tubuh",
sendi kaca mata,engsel yang terdapat pada kaca mata yang menghubungkan rangka dan bingkai kacamata,
sendi kaku,sendi yang memungkinkan sedikit gerak antara tulang-tulang yang dihubungkan (seperti tulang-tulang pergelangan tangan),
sendi karpometakarpal,sendi pada pergelangan tangan,
sendi lutut,"hubungan antara tulang paha, tulang kering, dan tempurung lutut",
sendi mati,sendi yang terdapat antara tulang-tulang yang mendinding tengkorak,
sendi naik,-,-
sendi target,"sendi yang sering mengalami perdarahan, seperti sendi lutut, siku, dan pergelangan kaki",
sendi turun,-,-
sendi tutup,-,-
sen.ding,→ zending,
sendiri,-,-
sendiri-sendiri,-,-
sendirian,-,-
sendocong,-,-
sendok,-,-
sendok air,"sendok yang digunakan khusus untuk mengambil air, gayung",
sendok bebek,"sendok bergagang pendek, bagian depannya lebih cekung daripada sendok biasa, bentuknya seperti paruh bebek (biasanya untuk menyendok bubur)",
"sendok berdengar-dengar, nasi habis budi dapat","karena pekerjaan dilakukan kurang hati-hati, akhirnya mendapat malu karena rahasia terbuka kepada orang lain",
sendok besar tak mengenyang,tidak ada buktinya,
sendok bubur,sendok bebek,
sendok builon,sendok untuk sup yang encer,
sendok dan periuk lagi berantuk (sendok dengan belanga lagi berlaga),sahabat baik (suami istri dan sebagainya) adakalanya berselisih juga,
sendok deser,sendok tambul,
sendok es krim,sendok untuk mencedok atau mengambil es krim,
sendok jeruk,"sendok dengan ujung bergerigi, digunakan untuk mengambil daging buah jeruk",
sendok makan,sendok untuk makan nasi dan sebagainya,
sendok nasi,"sendok untuk mengambil nasi, bentuknya agak lonjong dan lebar, bertangkai pendek, centong (nasi)",
sendok pengedang,sendok besar yang cekung sekali untuk menyendok air panas dari periuk,
sendok sayur,"alat untuk menyendok sayur (sup), bertangkai panjang, dan bentuknya bulat dan cekung",
sendok sepatu,alat yang berbentuk seperti sendok digunakan sebagai alat bantu memasukkan kaki ke dalam sepatu,
sendok sup,sendok biasanya berbentuk bundar untuk makan sup,
sendok takar,"sendok yang digunakan untuk mengukur suatu bahan (seperti bahan memasak atau obat-obatan), biasanya dalam satu set terdiri atas berbagai bentuk untuk ukuran atau jumlah tertentu",
sendok tambul,sendok kecil untuk makan kue,
sendok teh,"sendok kecil untuk mengaduk minuman (teh, kopi, dan sebagainya)",
sendok tembok,sendok untuk mengambil adukan semen dan sebagainya,
sen.dok-sen.dok,merbulan,
sendon,-,-
sendorong,-,-
sendratari,-,-
sendratasik,-,-
sendu,-,-
sen.du.duk,→ sekeduduk,
senduduk,-,-
sen.duk,→ sendok (1),
senegal,-,-
Se.nen,→ Senin,
senewen,-,-
seng,-,-
sengaja,-,-
sengak,-,-
sengal,-,-
sengal pinggang,"penyakit nyeri pinggang, lumbago",
sengal tulang,"penyakit pada tulang, rematik, encok",
sengal-sengal,-,-
sengam,-,-
sengangar petir,-,-
sengangkar,-,-
sengap,-,-
sengar,-,-
sengar-sengir,-,-
sengarat,-,-
sengat,-,-
sengatan,-,-
sengau,-,-
sengeh,-,-
sengelat,-,-
senget,-,-
senget-menget,sangat miring,
seng.gah,→ sanggah (2),
senggak,-,-
senggak-sengguk,-,-
senggakan,-,-
seng.ga.ma,→ sanggama,
seng.ga.ma,→ sanggama,
senggang,-,-
senggang-tenggang,-,-
senggani,-,-
seng.ga.ra,→ selenggara,
senggat,-,-
senggatan,-,-
senggau,-,-
senggayut,-,-
seng.ge.rah.an,→ pesanggrahan,
senggeruk,-,-
sengget,-,-
senggik,-,-
seng.gi.ling,→ tenggiling,
senggol,-,-
senggol-menyenggol,-,-
senggolan,-,-
senggot,-,-
senggugu,-,-
senggugut,-,-
senggugut bangkai,penyakit perdarahan yang mungkin dapat membawa maut bagi penderita,
senggugut bunga,penyakit perdarahan yang dialami sesudah melahirkan,
senggugut darah,penyakit perdarahan karena datangnya haid,
senggugut meroyan,senggugut bunga,
sengguk,-,-
senggulung,-,-
senggut,-,-
sengih,-,-
se.ngi.ngih,→ sengih,
sengir,-,-
sengit,-,-
sengkak,-,-
sengkal,-,-
sengkalan,-,-
sengkalan sastra,-,-
sengkalun,-,-
sengkang,-,-
sengkang merah,palang merah,
sengkar,-,-
sengkaring,-,-
sengkarut,-,-
sengkawang,-,-
sengkayan,-,-
sengked,-,-
sengkedan,-,-
sengkek,-,-
sengkel,-,-
sengkela,-,-
sengkelang,-,-
sengkelat,-,-
sengkeling,-,-
sengkelit,-,-
sengkelit sabuk,"simpul yang terjahit pada celana, jaket, dan sebagainya, berfungsi sebagai jalur dan untuk menahan sabuk",
sengkenit,-,-
sengker,-,-
sengkeran,-,-
sengketa,-,-
sengketa wilayah,perselisihan atau ketidaksepakatan atas pemilikan atau kendali atas daerah di antara dua atau lebih negara,
seng.kil,→ duduk (1),
sengkilit,-,-
sengko,-,-
sengkuang,-,-
sengkuap,-,-
sengkuni,-,-
sengon,-,-
seng.sai,→ sinse,
seng.sai,→ sansai,
sengsam,-,-
sengsara,-,-
sengsem,-,-
sengseng,-,-
sengsurit,-,-
senguk,-,-
senguk-sengak,"tersedu-sedu, terisak-isak",
sengut,-,-
seni,-,-
seni arca,"ilmu tentang arca dilihat dari segi tekniknya (gaya, cara, dan ketentuan pembuatannya)",
seni badingkut,"seni yang memanfaatkan barang-barang yang sudah dianggap sampah, seperti daun, kayu, atau kertas yang diubah menjadi lukisan, patung, dan sebagainya",
seni bangunan,seni tentang keindahan dalam membuat bangunan,
seni bela diri,cabang olahraga yang gerakannya dapat digunakan sebagai mekanisme membela diri dari serangan musuh seperti pencak silat dan kungfu,
seni belanja,seni cara berbelanja,
seni berteater,-,-
seni bina,seni arsitektur Melayu,
seni budaya,perihal kesenian dan kebudayaan,
seni derita,"kegiatan yang dengan sengaja membuat diri sendiri menderita, seperti mengurung diri dalam ruangan",
seni drama,seni mengenai pelakonan dalam pentas (sandiwara),
seni drama amatir,-,-
seni dramatik,-,-
seni eksperimental,seni yang diciptakan dengan maksud diujicobakan untuk dinilai dan diapresiasikan,
seni grafis,"seni yang berhubungan dengan dekorasi, penulisan atau pengungkapan dalam bentuk huruf, tanda atau gambar melalui proses pencetakan",
seni hias kuku,"seni melukis atau menghias kuku dengan menggunakan kuteks, stiker, gliter, manik-manik, dan sebagainya, seni kuku",
seni instalasi,karya seni tiga dimensi yang tersusun dari unsur-unsur yang ditata dalam urutan yang akurat sesuai dengan keinginan seniman,
seni keramik,seni yang berhubungan dengan keramik,
